13, 52.398475, 5.930749, 324, 30.68, 97410, 507.00
13, 52.398487, 5.930771, 318, 30.72, 97480, 488.00
13, 52.398494, 5.930792, 311, 30.71, 97560, 494.00
13, 52.398498, 5.930808, 303, 30.76, 97650, 500.00
13, 52.398506, 5.930822, 297, 30.71, 97710, 508.00
13, 52.398517, 5.930835, 292, 30.67, 97770, 493.00
13, 52.398521, 5.930851, 284, 30.63, 97860, 493.00
13, 52.398529, 5.930864, 278, 30.66, 97930, 502.00
13, 52.398536, 5.930878, 272, 30.61, 98000, 489.00
13, 52.398544, 5.930893, 265, 30.60, 98080, 494.00
13, 52.398548, 5.930907, 258, 30.61, 98160, 500.00
13, 52.398555, 5.930922, 251, 30.55, 98240, 503.00
13, 52.398555, 5.930936, 245, 30.58, 98300, 491.00
13, 52.398555, 5.930951, 238, 30.59, 98380, 504.00
13, 52.398559, 5.930963, 232, 30.54, 98450, 492.00
13, 52.398563, 5.930977, 225, 30.53, 98530, 494.00
13, 52.398567, 5.930991, 221, 30.53, 98570, 500.00
13, 52.398574, 5.931002, 212, 30.51, 98680, 501.00
13, 52.398578, 5.931014, 207, 30.55, 98740, 501.00
13, 52.398586, 5.931038, 193, 30.47, 98900, 1003.00
13, 52.398597, 5.931068, 182, 30.52, 99020, 1002.00
0, 0.000000, 0.000000, 175, 30.46, 99100, 497.00
13, 52.398605, 5.931091, 168, 30.48, 99180, 497.00
13, 52.398612, 5.931127, 155, 30.48, 99330, 1005.00
13, 52.398612, 5.931142, 147, 30.52, 99410, 495.00
13, 52.398612, 5.931156, 142, 30.52, 99480, 501.00
13, 52.398612, 5.931169, 135, 30.53, 99560, 501.00
13, 52.398616, 5.931183, 127, 30.55, 99640, 500.00
13, 52.398620, 5.931199, 121, 30.56, 99720, 502.00
13, 52.398628, 5.931214, 114, 30.56, 99790, 495.00
13, 52.398635, 5.931230, 108, 30.54, 99870, 495.00
13, 52.398635, 5.931246, 101, 30.58, 99950, 503.00
0, 52.398643, 5.931266, 95, 30.56, 100020, 495.00
13, 52.398647, 5.931287, 88, 30.56, 100090, 497.00
13, 52.398654, 5.931323, 74, 30.55, 100250, 990.00
13, 52.398658, 5.931341, 68, 30.56, 100320, 501.00
13, 52.398662, 5.931358, 60, 30.56, 100410, 505.00
13, 52.398666, 5.931392, 48, 30.54, 100550, 1013.00
13, 52.398670, 5.931411, 41, 30.52, 100630, 496.00
13, 52.398674, 5.931430, 35, 30.54, 100700, 497.00
13, 52.398674, 5.931449, 28, 30.54, 100780, 501.00
13, 52.398681, 5.931467, 22, 30.53, 100850, 491.00
0, 0.000000, 0.000000, 16, 30.52, 100930, 484.00
